"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-01","0.98","45","34"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-02","0.30","39","32"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-03","0.00","60","39"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-04","0.00","64","43"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-05","0.00","67","44"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-06","0.00","77","41"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-07","0.00","66","44"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-08","0.00","65","44"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-09","0.20","69","46"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-10","0.01","70","48"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-11","0.00","66","46"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-12","0.00","66","44"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-13","0.00","75","48"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-14","0.00","80","54"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-15","0.00","83","61"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-16","0.63","69","58"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-17","0.94","81","62"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-18","1.89","69","46"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-19","0.02","53","42"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-20","0.00","53","42"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-21","1.32","50","40"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-22","0.06","50","43"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-23","0.04","64","48"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-24","0.03","60","45"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-25","0.00","61","47"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-26","0.04","70","52"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-27","0.00","80","52"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-28","0.00","72","56"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-29","0.05","73","52"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-30","0.03","64","51"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-05-31","0.00","59","49"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-01","0.00","73","45"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-02","0.00","79","56"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-03","0.00","88","64"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-04","0.00","89","62"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-05","0.00","87","57"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-06","0.00","84","53"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-07","0.00","80","58"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-08","0.01","86","66"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-09","0.00","81","60"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-10","0.00","83","65"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-11","0.00","93","70"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-12","0.89","73","55"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-13","0.32","80","64"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-14","0.21","88","66"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-15","0.00","83","66"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-16","0.00","84","63"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-17","0.00","83","61"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-18","0.24","82","59"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-19","0.00","71","59"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-20","0.17","71","57"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-21","0.00","73","55"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-22","0.11","80","62"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-23","0.48","70","56"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-24","0.00","70","52"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-25","0.00","64","52"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-26","0.03","66","48"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-27","0.00","69","51"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-28","0.54","75","56"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-29","0.11","79","61"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-06-30","0.05","74","58"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-01","0.00","77","60"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-02","0.00","74","63"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-03","0.00","78","57"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-04","0.00","81","64"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-05","0.10","85","66"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-06","0.00","90","72"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-07","0.00","91","65"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-08","0.00","80","57"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-09","0.00","80","65"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-10","0.00","82","67"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-11","0.00","83","60"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-12","0.04","84","66"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-13","0.00","84","55"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-14","0.00","68","54"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-15","0.00","75","58"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-16","0.00","91","64"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-17","0.00","82","66"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-18","0.90","90","67"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-19","0.04","78","59"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-20","0.17","80","64"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-21","0.00","86","65"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-22","0.00","82","67"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-23","0.01","87","65"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-24","0.00","75","55"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-25","0.00","77","60"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-26","1.19","82","66"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-27","0.00","81","64"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-28","0.00","81","61"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-29","0.00","82","59"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-30","0.00","83","61"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-07-31","0.00","84","64"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-01","0.00","85","64"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-02","0.00","85","63"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-03","0.19","78","59"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-04","0.43","60","51"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-05","0.00","74","54"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-06","0.19","75","57"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-07","0.76","72","52"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-08","0.00","77","58"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-09","0.00","79","61"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-10","0.90","67","59"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-11","0.06","70","56"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-12","0.00","76","53"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-13","0.00","77","57"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-14","1.72","68","59"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-15","0.01","73","53"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-16","0.55","76","58"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-17","1.92","76","63"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-18","0.01","70","58"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-19","0.00","72","55"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-20","0.00","78","59"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-21","0.00","83","62"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-22","0.05","78","58"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-23","0.00","72","53"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-08-24","0.00","72","53"
